D:/CCD_features\train_negative_001355.npy,no accident
D:/CCD_features\train_negative_002192.npy,no accident
D:/CCD_features\train_negative_002082.npy,no accident
D:/CCD_features\train_negative_000754.npy,no accident
D:/CCD_features\train_positive_000713.npy,accident
D:/CCD_features\train_negative_000847.npy,no accident
D:/CCD_features\train_positive_000197.npy,accident
D:/CCD_features\train_negative_001188.npy,no accident
D:/CCD_features\train_negative_001934.npy,no accident
D:/CCD_features\train_negative_001592.npy,no accident
D:/CCD_features\train_negative_002229.npy,no accident
D:/CCD_features\train_negative_000729.npy,no accident
D:/CCD_features\train_negative_000955.npy,no accident
D:/CCD_features\train_negative_002359.npy,no accident
D:/CCD_features\train_negative_001201.npy,no accident
D:/CCD_features\train_negative_000540.npy,no accident
D:/CCD_features\train_positive_000524.npy,accident
D:/CCD_features\train_positive_000816.npy,accident
D:/CCD_features\train_negative_001342.npy,no accident
D:/CCD_features\train_positive_000460.npy,accident
D:/CCD_features\train_negative_002542.npy,no accident
D:/CCD_features\train_negative_000576.npy,no accident
D:/CCD_features\train_negative_002309.npy,no accident
D:/CCD_features\train_negative_001122.npy,no accident
D:/CCD_features\train_positive_000471.npy,accident
D:/CCD_features\train_negative_001853.npy,no accident
D:/CCD_features\train_positive_001223.npy,accident
D:/CCD_features\train_positive_001244.npy,accident
D:/CCD_features\train_negative_000139.npy,no accident
D:/CCD_features\train_positive_001406.npy,accident
D:/CCD_features\train_positive_000423.npy,accident
D:/CCD_features\train_negative_001788.npy,no accident
D:/CCD_features\train_negative_000985.npy,no accident
D:/CCD_features\train_negative_001474.npy,no accident
D:/CCD_features\train_positive_000097.npy,accident
D:/CCD_features\train_positive_000915.npy,accident
D:/CCD_features\train_negative_000933.npy,no accident
D:/CCD_features\train_negative_002778.npy,no accident
D:/CCD_features\train_negative_001029.npy,no accident
D:/CCD_features\train_positive_000102.npy,accident
D:/CCD_features\train_negative_002448.npy,no accident
D:/CCD_features\train_positive_000251.npy,accident
D:/CCD_features\train_negative_001261.npy,no accident
D:/CCD_features\train_positive_001363.npy,accident
D:/CCD_features\train_positive_000489.npy,accident
D:/CCD_features\train_negative_002959.npy,no accident
D:/CCD_features\train_negative_001969.npy,no accident
D:/CCD_features\train_negative_002877.npy,no accident
D:/CCD_features\train_negative_001506.npy,no accident
D:/CCD_features\train_positive_001307.npy,accident
D:/CCD_features\train_negative_000974.npy,no accident
D:/CCD_features\train_negative_000528.npy,no accident
D:/CCD_features\train_negative_001480.npy,no accident
D:/CCD_features\train_negative_001310.npy,no accident
D:/CCD_features\train_negative_001375.npy,no accident
D:/CCD_features\train_positive_000539.npy,accident
D:/CCD_features\train_negative_002361.npy,no accident
D:/CCD_features\train_negative_000296.npy,no accident
D:/CCD_features\train_negative_002464.npy,no accident
D:/CCD_features\train_negative_002118.npy,no accident
D:/CCD_features\train_negative_001840.npy,no accident
D:/CCD_features\train_negative_000005.npy,no accident
D:/CCD_features\train_positive_000211.npy,accident
D:/CCD_features\train_negative_000207.npy,no accident
D:/CCD_features\train_negative_002892.npy,no accident
D:/CCD_features\train_negative_000871.npy,no accident
D:/CCD_features\train_negative_000014.npy,no accident
D:/CCD_features\train_negative_002615.npy,no accident
D:/CCD_features\train_negative_001113.npy,no accident
D:/CCD_features\train_negative_002710.npy,no accident
D:/CCD_features\train_negative_001349.npy,no accident
D:/CCD_features\train_negative_001990.npy,no accident
D:/CCD_features\train_negative_002931.npy,no accident
D:/CCD_features\train_negative_000474.npy,no accident
D:/CCD_features\train_negative_002150.npy,no accident
D:/CCD_features\train_negative_001002.npy,no accident
D:/CCD_features\train_positive_000611.npy,accident
D:/CCD_features\train_negative_000661.npy,no accident
D:/CCD_features\train_positive_001476.npy,accident
D:/CCD_features\train_negative_002241.npy,no accident
D:/CCD_features\train_negative_000518.npy,no accident
D:/CCD_features\train_negative_002030.npy,no accident
D:/CCD_features\train_negative_000574.npy,no accident
D:/CCD_features\train_positive_000933.npy,accident
D:/CCD_features\train_positive_001269.npy,accident
D:/CCD_features\train_negative_002068.npy,no accident
D:/CCD_features\train_negative_002258.npy,no accident
D:/CCD_features\train_positive_001218.npy,accident
D:/CCD_features\train_negative_002437.npy,no accident
D:/CCD_features\train_negative_000850.npy,no accident
D:/CCD_features\train_positive_001022.npy,accident
D:/CCD_features\train_negative_002624.npy,no accident
D:/CCD_features\train_positive_001259.npy,accident
D:/CCD_features\train_negative_000980.npy,no accident
D:/CCD_features\train_positive_000354.npy,accident
D:/CCD_features\train_positive_000267.npy,accident
D:/CCD_features\train_negative_001469.npy,no accident
D:/CCD_features\train_positive_001046.npy,accident
D:/CCD_features\train_negative_002257.npy,no accident
D:/CCD_features\train_negative_001824.npy,no accident
D:/CCD_features\train_negative_001668.npy,no accident
D:/CCD_features\train_negative_002593.npy,no accident
